Camino|Camino|
Chromium|Chromium|
Chrome 3|Chrome/3|
Chrome 4|Chrome/4|
Chrome 5|Chrome/5|
Chrome 6|Chrome/6|
Chrome 7|Chrome/7|
Chrome 8|Chrome/8|
Chrome 9|Chrome/9|
Chrome 10|Chrome/10|
Chrome 11|Chrome/11|
Chrome 12|Chrome/12|
Chrome 13|Chrome/13|
Chrome 14|Chrome/14|
Chrome 15|Chrome/15|
Chrome 16|Chrome/16|
Chrome 17|Chrome/17|
Chrome 18|Chrome/18|
Chrome 19|Chrome/19|
Chrome 20|Chrome/20|
Chrome 21|Chrome/21|
Chrome 22|Chrome/22|
Chrome 23|Chrome/23|
Chrome 24|Chrome/24|
Chrome 25|Chrome/25|
Chrome 26|Chrome/26|
Chrome 27|Chrome/27|
Chrome 28|Chrome/28|
Chrome 29|Chrome/29|
Chrome 2|Chrome/2|
Chrome|Chrome|
Dillo|Dillo|
Epiphany|Epiphany|
Firefox 1|Firefox/1.0|
Firefox 1.5|Firefox/1.5|
Firefox 2|BonEcho|
Firefox 3|Firefox/3|
Firefox 3|GranParadiso|
Firefox 4|Firefox/4|
Firefox 5|Firefox/5|
Firefox 6|Firefox/6|
Firefox 7|Firefox/7|
Firefox 8|Firefox/8|
Firefox 9|Firefox/9|
Firefox 10|Firefox/10|
Firefox 11|Firefox/11|
Firefox 12|Firefox/12|
Firefox 13|Firefox/13|
Firefox 14|Firefox/14|
Firefox 15|Firefox/15|
Firefox 16|Firefox/16|
Firefox 17|Firefox/17|
Firefox 18|Firefox/18|
Firefox 19|Firefox/19|
Firefox 20|Firefox/20|
Firefox 21|Firefox/21|
Firefox 22|Firefox/22|
Firefox 23|Firefox/23|
Firefox 24|Firefox/24|
Firefox 25|Firefox/25|
Firefox 26|Firefox/26|
Firefox 27|Firefox/27|
Firefox 28|Firefox/28|
Firefox 29|Firefox/29|
Firefox 2|Firefox/2|
Firefox|Firefox|
Firefox|Phoenix|
Firebird|Firebird|
Galeon|Galeon|
Generic Gecko|Gecko/|
Thunderbird|Thunderbird|
Internet Explorer Mobile 9.0|IEMobile/9.0|
Internet Explorer Mobile 7.11|IEMobile 7.11|
Internet Explorer Mobile 7|IEMobile/7.0|
Internet Explorer Mobile|IEMobile|
Internet Explorer 10|MSIE10.|
Internet Explorer 9|MSIE9.|
Internet Explorer 8|MSIE8.|
Internet Explorer 7|MSIE7.|
Internet Explorer 6|MSIE6.|
Internet Explorer 5|MSIE5.|
Internet Explorer 4|MSIE4.|
Internet Explorer 3|MSIE3.|
Internet Explorer 2|MSIE2.|
Internet Explorer|MSIE|
Pocket Internet Explorer|MicrosoftPocketInternetExplorer|
Pocket Internet Explorer|MSPIE|
Opera 7|Opera7|
Opera 7|Opera/7|
Opera 8|Opera/8|
Opera 8|Opera8|
Opera 9|Opera/9|
Opera 9.7|Opera 9.70|
Opera 9.7|Presto/2.2.0|
Opera 9.7|Presto/2.2.1|
Opera 9.8|Presto/2.4.15|
Opera 9.8|Opera/9.8|
Opera 9.99|Presto/9.9.9|
Opera 10|Opera/10|
Opera 10|Presto/2.2.15Version/10.00|
Opera 10|Presto/2.2.15Version/10.01|
Opera 10|Presto/2.2.15Version/10.10|
Opera 10|Opera10.10|
Opera 10|Presto/2.2.2|
Opera 10|Presto/2.5.22Version/10.50|
Opera 10|Presto/2.5.22Version/10.51|
Opera 10|Opera10.51|
Opera 10|Presto/2.5.24Version/10.52|
Opera 10|Presto/2.5.24Version/10.53|
Opera 10|Opera10.53|
Opera 10|Presto/2.5.25Version/10.54|
Opera 10|Presto/2.5.27Version/10.60|
Opera 10|Presto/2.6.30Version/10.61|
Opera 10|Presto/2.6.30Version/10.62|
Opera 10|Opera10.62|
Opera 10|Presto/2.6.30Version/10.63|
Opera 10|Presto/2.6.31Version/10.70|
Opera 11|Presto/2.7.62Version/11.00|
Opera 11|Opera11.00|
Opera 11|Presto/2.7.62Version/11.01|
Opera 11|Opera11.01|
Opera 11|Presto/2.8.131Version/11.10|
Opera 11|Presto/2.8.131Version/11.11|
Opera 11|Opera11.11|
Opera 11.5|Presto/2.9.168Version/11.50|
Opera 12|Presto/2.9.181Version/12.00|
Opera 11|Opera/11|
Opera 12|Opera/12|
Opera 13|Opera/13|
Opera Mini 6.1|OperaMini/6.1.25375|
Opera Mini|OperaMini|
Opera|Opera|
Orca|Orca|
Konqueror 3.5|Konqueror/3.5|
Konqueror 3|Konqueror/3|
Konqueror|Konqueror|
KHTML 3|KHTML/3.5.5|
Links|Links|
Lynx|Lynx|
AmigaVoyager|AmigaVoyager|
Ensemble2|Ensemble2|
Iceweasel|Iceweasel|
SeaMonkey|SeaMonkey|
RssReader|rssreader.com|
Radianrss|radianrss|
NewsCopier|NewsCopier|
K-Meleon|K-Meleon|
iCab|iCab|
Swiftweasel|Swiftweasel|
Safari Mobile 6.0|6.0 Mobile/10A5355d Safari/8536.25|
Safari Mobile 5.0|Version/5.0.2Mobile/8J2Safari/6533.18.5|
Safari Mobile 5.0|Version/5.0.2Mobile/8C148Safari/6533.18.5|
